<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.18	13:30:00	3348.68	3350.11	3347.99	3349.37	1186	0	8
2025.08.18	13:45:00	3349.37	3349.63	3346.54	3346.64	771	0	8
2025.08.18	14:00:00	3346.64	3348.78	3346.54	3348.06	925	0	8
2025.08.18	14:15:00	3348.06	3348.80	3347.47	3348.56	997	0	8
2025.08.18	14:30:00	3348.56	3348.68	3346.75	3346.96	797	0	8
2025.08.18	14:45:00	3346.96	3347.06	3344.62	3345.43	1047	0	8
2025.08.18	15:00:00	3345.54	3348.07	3345.17	3347.08	1117	0	8
2025.08.18	15:15:00	3347.08	3347.72	3345.39	3346.43	1382	0	8
2025.08.18	15:30:00	3346.55	3348.74	3345.97	3347.85	1779	0	8
2025.08.18	15:45:00	3347.85	3347.95	3343.21	3344.75	1724	0	8
2025.08.18	16:00:00	3344.59	3344.98	3341.08	3341.26	2442	0	8
2025.08.18	16:15:00	3341.26	3344.20	3340.36	3343.11	2266	0	8
2025.08.18	16:30:00	3342.98	3343.96	3337.93	3340.01	2587	0	8
2025.08.18	16:45:00	3340.01	3340.16	3335.73	3336.69	2256	0	8
2025.08.18	17:00:00	3336.73	3338.44	3332.51	3335.55	2993	0	8
2025.08.18	17:15:00	3335.55	3337.34	3335.02	3335.84	1999	0	8
2025.08.18	17:30:00	3335.85	3338.71	3334.78	3335.64	1888	0	8
2025.08.18	17:45:00	3335.64	3336.04	3332.94	3334.36	2280	0	8
2025.08.18	18:00:00	3334.36	3335.25	3332.28	3334.55	1948	0	8
2025.08.18	18:15:00	3334.55	3335.89	3333.46	3334.69	1503	0	8
2025.08.18	18:30:00	3334.69	3335.67	3333.22	3335.08	1263	0	8
2025.08.18	18:45:00	3335.08	3336.85	3334.00	3335.65	1554	0	8
2025.08.18	19:00:00	3335.65	3335.92	3331.93	3333.52	1587	0	8
2025.08.18	19:15:00	3333.43	3333.43	3331.88	3332.42	1160	0	8
2025.08.18	19:30:00	3332.42	3334.61	3331.79	3332.69	1039	0	8
2025.08.18	19:45:00	3332.58	3334.51	3332.39	3334.26	1053	0	8
2025.08.18	20:00:00	3334.27	3334.41	3331.73	3333.93	1178	0	8
2025.08.18	20:15:00	3333.93	3334.22	3332.06	3332.64	1192	0	8
2025.08.18	20:30:00	3332.63	3334.54	3332.38	3334.41	840	0	8
2025.08.18	20:45:00	3334.41	3334.87	3332.97	3333.64	793	0	8
2025.08.18	21:00:00	3333.64	3333.83	3332.73	3333.08	622	0	8
2025.08.18	21:15:00	3333.08	3333.20	3332.09	3332.94	674	0	8
2025.08.18	21:30:00	3332.94	3333.43	3331.57	3332.02	537	0	8
2025.08.18	21:45:00	3332.02	3332.53	3331.57	3331.98	430	0	8
2025.08.18	22:00:00	3331.98	3332.21	3330.28	3331.18	914	0	8
2025.08.18	22:15:00	3331.18	3332.36	3330.56	3331.87	586	0	8
2025.08.18	22:30:00	3331.87	3332.82	3331.39	3331.43	560	0	8
2025.08.18	22:45:00	3331.45	3334.27	3331.43	3333.59	895	0	8
2025.08.18	23:00:00	3333.59	3334.28	3333.28	3333.47	570	0	8
2025.08.18	23:15:00	3333.47	3333.81	3333.20	3333.26	412	0	8
2025.08.18	23:30:00	3333.26	3333.96	3332.69	3332.96	440	0	8
2025.08.18	23:45:00	3332.96	3333.22	3332.54	3332.68	354	0	18
2025.08.19	01:00:00	3333.42	3334.36	3332.94	3333.08	1029	0	8
2025.08.19	01:15:00	3333.08	3334.72	3332.99	3333.95	871	0	8
2025.08.19	01:30:00	3333.95	3334.42	3333.38	3333.38	785	0	8
2025.08.19	01:45:00	3333.38	3334.49	3333.10	3334.49	747	0	8
2025.08.19	02:00:00	3334.49	3334.73	3333.53	3333.60	825	0	8
2025.08.19	02:15:00	3333.59	3333.64	3331.78	3332.29	865	0	8
2025.08.19	02:30:00	3332.28	3333.25	3331.41	3332.87	1202	0	8
2025.08.19	02:45:00	3332.87	3332.88	3330.56	3330.96	1364	0	8
2025.08.19	03:00:00	3330.96	3337.83	3326.15	3336.28	4192	0	8
2025.08.19	03:15:00	3336.23	3339.19	3335.68	3337.30	2759	0	8
2025.08.19	03:30:00	3337.33	3338.45	3334.95	3335.95	2432	0	8
2025.08.19	03:45:00	3335.96	3336.33	3332.75	3335.20	2522	0	8
2025.08.19	04:00:00	3335.20	3335.72	3330.36	3331.49	3836	0	8
2025.08.19	04:15:00	3331.49	3335.29	3330.99	3332.56	3452	0	8
2025.08.19	04:30:00	3332.58	3334.13	3331.01	3333.18	3534	0	8
2025.08.19	04:45:00	3333.18	3335.66	3332.63	3332.99	2955	0	8
2025.08.19	05:00:00	3332.98	3333.10	3329.47	3332.20	3410	0	8
2025.08.19	05:15:00	3332.20	3334.82	3331.79	3333.56	2332	0	8
2025.08.19	05:30:00	3333.59	3334.81	3333.17	3333.79	1859	0	8
2025.08.19	05:45:00	3333.77	3338.12	3332.35	3338.03	2542	0	8
2025.08.19	06:00:00	3338.07	3341.25	3337.50	3341.23	3114	0	8
2025.08.19	06:15:00	3341.24	3341.63	3340.31	3341.02	2744	0	8
2025.08.19	06:30:00	3341.01	3341.60	3338.00	3338.38	2172	0	8
2025.08.19	06:45:00	3338.37	3338.56	3337.15	3337.82	1873	0	8
2025.08.19	07:00:00	3337.84	3338.12	3336.11	3337.03	1522	0	8
2025.08.19	07:15:00	3337.01	3338.12	3335.84	3336.37	1577	0	8
